sensor_id,data_timstm,BATT_LEVEL,RANGE_EST
E3ULINANMZ3PMJ86M,4/8/2021 5:11,73.3,257
E3ULINANMZ3PMJ86M,4/8/2021 7:01,73.7,257
O4DMB4TYYPZJLACPG,4/8/2021 2:31,45,129
WB08O7DYACSLZOJ3C,4/6/2021 9:06,64.7,199
L1N2SDI4DQPZEFTCV,4/8/2021 5:42,78.4,197
L1N2SDI4DQPZEFTCV,4/8/2021 6:01,81.1,204
L1N2SDI4DQPZEFTCV,4/8/2021 6:09,82.3,209
L1N2SDI4DQPZEFTCV,4/8/2021 6:15,83.1,209
L1N2SDI4DQPZEFTCV,4/8/2021 7:01,91.7,228
ALBNEXNVYW5M6TNPS,4/7/2021 9:30,92.5,307
ES2MHHAZFUSJIUD5X,4/7/2021 8:14,88.6,365
SGLARNHUKPLJ4YEV1,4/8/2021 7:09,78.8,366
SGLARNHUKPLJ4YEV1,4/8/2021 7:11,79.2,366
SGLARNHUKPLJ4YEV1,4/8/2021 7:29,83.1,383
SGLARNHUKPLJ4YEV1,4/8/2021 7:32,83.5,386
SGLARNHUKPLJ4YEV1,4/8/2021 7:34,83.9,387
SGLARNHUKPLJ4YEV1,4/8/2021 7:39,84.7,391
SGLARNHUKPLJ4YEV1,4/8/2021 7:42,85,392
ZFQGPRKJ5O2PID0PW,4/7/2021 3:46,94.1,368
GWWRDFKFIXQSC53CZ,4/7/2021 8:40,81.5,275
F9Y2EM1NTPI7LOLYU,4/8/2021 4:38,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 4:39,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 4:57,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 4:58,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 4:59,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 5:01,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 5:02,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 5:04,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 5:05,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 5:06,57.2,162
F9Y2EM1NTPI7LOLYU,4/8/2021 5:07,57.2,162
KGRDCFVXFLPZRXFCD,4/8/2021 6:10,38.4,92
KGRDCFVXFLPZRXFCD,4/8/2021 6:13,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:15,38,90
KGRDCFVXFLPZRXFCD,4/8/2021 6:17,37.2,87
KGRDCFVXFLPZRXFCD,4/8/2021 6:19,37.6,87
KGRDCFVXFLPZRXFCD,4/8/2021 6:26,38,89
KGRDCFVXFLPZRXFCD,4/8/2021 6:29,38.4,90
KGRDCFVXFLPZRXFCD,4/8/2021 6:30,38,90
KGRDCFVXFLPZRXFCD,4/8/2021 6:35,38.8,92
KGRDCFVXFLPZRXFCD,4/8/2021 6:40,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:41,38,89
KGRDCFVXFLPZRXFCD,4/8/2021 6:53,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:54,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:55,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:56,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:58,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 6:59,38.4,90
KGRDCFVXFLPZRXFCD,4/8/2021 7:01,37.6,88
KGRDCFVXFLPZRXFCD,4/8/2021 7:03,37.6,88
KGRDCFVXFLPZRXFCD,4/8/2021 7:11,37.6,88
KGRDCFVXFLPZRXFCD,4/8/2021 7:12,37.6,89
KGRDCFVXFLPZRXFCD,4/8/2021 7:13,38,89
KGRDCFVXFLPZRXFCD,4/8/2021 7:15,38.4,90
KGRDCFVXFLPZRXFCD,4/8/2021 7:16,38,90
KGRDCFVXFLPZRXFCD,4/8/2021 7:20,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 7:21,38.4,91
KGRDCFVXFLPZRXFCD,4/8/2021 7:23,38.8,92
KGRDCFVXFLPZRXFCD,4/8/2021 7:28,38.8,93
KGRDCFVXFLPZRXFCD,4/8/2021 7:29,38.8,94
KGRDCFVXFLPZRXFCD,4/8/2021 7:30,39.2,94
KGRDCFVXFLPZRXFCD,4/8/2021 7:31,39.2,95
KGRDCFVXFLPZRXFCD,4/8/2021 7:43,38.8,93
KGRDCFVXFLPZRXFCD,4/8/2021 7:47,38.8,93
KGRDCFVXFLPZRXFCD,4/8/2021 7:50,38.4,92
UONB2TGV6JZDKBFFN,4/8/2021 9:20,44.7,106
UONB2TGV6JZDKBFFN,4/8/2021 10:58,64.3,151
YDA7UQYFOEJLJHMHI,4/7/2021 5:57,81.5,278
NPLB88ZYLI6R0HRMZ,4/8/2021 4:41,70.9,210
NPLB88ZYLI6R0HRMZ,4/8/2021 5:13,77.6,231
NPLB88ZYLI6R0HRMZ,4/8/2021 5:29,80.3,241
NPLB88ZYLI6R0HRMZ,4/8/2021 5:40,82.7,246
NPLB88ZYLI6R0HRMZ,4/8/2021 5:56,86.6,255
NPLB88ZYLI6R0HRMZ,4/8/2021 6:19,91.3,267
1C6I5WXUR01H7MIC6,4/7/2021 12:33,88.2,297
GSTT69JWSRQUL6QD7,4/8/2021 6:21,39.6,133
6ZFAEVASIUVLPKT6B,4/6/2021 8:17,38.8,103
ARJ27Z6HEZRUZQJPV,4/8/2021 11:01,66.2,173
UY924HRXLRLULBSHT,4/8/2021 10:40,30.9,117
5N4DJH0OUYEBNDBTM,4/8/2021 7:22,87,280
OO6UKJROWAV0C0DQW,4/7/2021 9:50,69.4,329
HZ7G19AJ2JKG1AWTP,4/7/2021 10:30,92.9,310
HZ7G19AJ2JKG1AWTP,4/8/2021 3:22,92.9,310
HZ7G19AJ2JKG1AWTP,4/8/2021 9:25,92.9,310
QTLFODL2L8LVSXODT,4/8/2021 6:07,70.1,226
T5J9BNI62YX1YR6P0,4/8/2021 5:12,77.6,368
E1AWAUOFOXTQEJ4VC,4/8/2021 5:14,89.8,303
F1OUDMJWNYZ3TGSBD,4/8/2021 3:49,37.2,128
F1OUDMJWNYZ3TGSBD,4/8/2021 4:08,37.6,128
XRLZOANNDJEXJXRS8,4/8/2021 7:47,75.6,297
XRLZOANNDJEXJXRS8,4/8/2021 7:50,75.6,297
M12OA2U1QF8WL04KX,4/8/2021 2:50,68.6,251
68DPFOOPNHDU0FDMB,4/7/2021 8:28,100,339
FST74CYKWMW2GFWK6,4/5/2021 3:15,97.2,333
USEMBUBVMO8K93ANZ,4/7/2021 9:10,20.3,77
LZC3B98ZHQE1ZUL3S,4/8/2021 7:03,78.4,271
LZOKJ9DBGIVCJVIJ5,4/8/2021 5:49,54.9,180
LZOKJ9DBGIVCJVIJ5,4/8/2021 7:27,74.1,244
CEHIJ79DUNUHDUSRR,4/8/2021 5:00,95.2,359
UFOG5XX6BOIQP5YXC,4/8/2021 6:40,92.9,350
UFOG5XX6BOIQP5YXC,4/8/2021 7:35,100,378
UFOG5XX6BOIQP5YXC,4/8/2021 7:42,100,381
CQYYKK6BY4FXUYLNS,4/8/2021 12:27,94.5,320
ULTT1D0RO9LZUHVC0,4/4/2021 3:39,76,207
ULTT1D0RO9LZUHVC0,4/4/2021 4:44,88.2,244
ULTT1D0RO9LZUHVC0,4/4/2021 5:16,95.6,262
ORSAMKXDWMPA9NQCR,4/8/2021 7:27,63.5,276
